id,generation,season,blast,hatch
bull1,F0,winter,0.39,0.41
bull1,F0,winter,0.52,0.40
bull1,F0,winter,0.52,0.42
bull1,F0,summer,0.35,0.32
bull1,F0,summer,0.46,0.41
bull1,F0,summer,0.45,0.43
bull1,F1,winter,0.45,0.39
bull1,F1,winter,0.45,0.37
bull1,F1,winter,0.51,0.37
bull1,F1,summer,0.41,0.38
bull1,F1,summer,0.44,0.44
bull1,F1,summer,0.38,0.30
bull2,F0,winter,0.62,0.53
bull2,F0,winter,0.66,0.43
bull2,F0,winter,0.54,0.44
bull2,F0,summer,0.61,0.51
bull2,F0,summer,0.68,0.37
bull2,F0,summer,0.56,0.44
bull2,F1,winter,0.56,0.50
bull2,F1,winter,0.52,0.44
bull2,F1,winter,0.54,0.45
bull2,F1,summer,0.64,0.53
bull2,F1,summer,0.59,0.54
bull2,F1,summer,0.63,0.49
bull3,F0,winter,0.74,0.42
bull3,F0,winter,0.58,0.50
bull3,F0,winter,0.49,0.49
bull3,F0,summer,0.47,0.21
bull3,F0,summer,0.46,0.36
bull3,F0,summer,0.38,0.38
bull3,F1,winter,0.60,0.52
bull3,F1,winter,0.58,0.48
bull3,F1,winter,0.53,0.38
bull3,F1,summer,0.53,0.48
bull3,F1,summer,0.45,0.37
bull3,F1,summer,0.49,0.44
