generation,id,season,date,time,motility.000,motility.030,motility.120
F0,bull1,winter,,now,90,82,76
F0,bull1,summer,,now,90,75,83
F1,bull1,winter,12.04.2022,early,85,74,66
F1,bull1,summer,12.04.2022,early,71,49,34
F1,bull1,winter,25.05.2022,later,89,65,57
F1,bull1,summer,25.05.2022,later,82,55,46
F0,bull2,winter,,now,92,83,83
F0,bull2,summer,,now,89,86,63
F1,bull2,winter,12.04.2022,early,87,79,61
F1,bull2,summer,12.04.2022,early,83,58,41
F1,bull2,winter,25.05.2022,later,92,75,76
F1,bull2,summer,25.05.2022,later,81,56,57
F0,bull3,winter,,now,94,87,81
F0,bull3,summer,,now,94,78,84
F1,bull3,winter,12.04.2022,early,82,55,
F1,bull3,summer,12.04.2022,early,75,70,55
F1,bull3,winter,25.05.2022,later,86,57,45
F1,bull3,summer,25.05.2022,later,84,67,
