generation,id,season,date,time,volume,density
F0,bull1,winter,,now,3.2,1.7
F0,bull1,summer,,now,7.1,1.87
F1,bull1,winter,12.04.2022,early,3.3,1.105
F1,bull1,summer,12.04.2022,early,5.6,0.884
F1,bull1,winter,25.05.2022,later,3.7,1.886
F1,bull1,summer,25.05.2022,later,3.8,1.621
F0,bull2,winter,,now,4.8,1.59
F0,bull2,summer,,now,5.8,0.54
F1,bull2,winter,12.04.2022,early,5.1,0.759
F1,bull2,summer,12.04.2022,early,5.1,0.759
F1,bull2,winter,25.05.2022,later,2.3,1.07
F1,bull2,summer,25.05.2022,later,5.6,0.893
F0,bull3,winter,,now,6,1.81
F0,bull3,summer,,now,1.6,1.39
F1,bull3,winter,12.04.2022,early,4.7,1.711
F1,bull3,summer,12.04.2022,early,2.3,1.109
F1,bull3,winter,25.05.2022,later,3.2,2.148
F1,bull3,summer,25.05.2022,later,2.3,1.213
